Название университета,Регион,Субъект РФ,Город,Ведомство,Базовая часть,Спец. часть,Кандидат,Сайт,Ректор,Создание научно-образовательных центров  (ПП РФ №537),"Создание Научно-образовательных математических центров"" (Региональных математических центров)",Создание научных центров мирового уровня  (ПП РФ №538) по приоритетам научно-технологического развития РФ,Создание научных центров мирового уровня  (ПП РФ №538) - геномные исследования,Создание научных центров мирового уровня  (ПП РФ №538) - математические центры,"Программа повышения конкурентоспособности ведущих университетов среди среди ведущих мировых научно-образовательных центров (Проект ""5-100"")  (ПП РФ №211)","Программа ""Карбоновые полигоны""","Программа ""Стартап как диплом""",Развитие опорных университетов  (ПП РФ №811),"Присвоение категории ""Национальный исследовательский университет"" (ПП РФ №550)",Создание федеральных университетов (ПП РФ №716),Научно-исследовательская политика / Удельный вес финансового обеспечения университета от НИОКР в общих доходах университета за последний отчетный период,Научно-исследовательская политика / Общее число публикаций за период 2016-2020 (Scopus),Научно-исследовательская политика / Общее число цитирований за период 2016-2020 (Scopus),Научно-исследовательская политика / Число публикаций отнесенных к QI и QII (Scopus),Научно-исследовательская политика / Число публикаций типов «Article» и «Review» (Scopus),Образовательная политика / Численность обучающихся (очно) / Бюджет,Образовательная политика / Численность обучающихся (очно) / Контракт,Образовательная политика / Доля иностранных обучающихся (очно) / Иностранные граждане,Образовательная политика / Доля иностранных обучающихся (очно) / Граждане РФ,Образовательная политика / Средний балл ЕГЭ / Средний балл ЕГЭ – студенты (Бюджет),Образовательная политика / Средний балл ЕГЭ /  Средний балл ЕГЭ – студенты (Контракт),Образовательная политика / Численность обучающихся по уровням образования (очно) / Бакалавриат,Образовательная политика / Численность обучающихся по уровням образования (очно) / Специалитет,Образовательная политика / Численность обучающихся по уровням образования (очно) / Магистратура,Образовательная политика / Численность обучающихся по уровням образования (очно) / Кадры высшей квалификации,Образовательная политика /  Численность иностранных обучающихся по уровням образования на условиях общего приема (очно) / Бакалавриат,Образовательная политика /  Численность иностранных обучающихся по уровням образования на условиях общего приема (очно) / Специалитет,Образовательная политика /  Численность иностранных обучающихся по уровням образования на условиях общего приема (очно) / Кадры высшей квалификации ,Образовательная политика /  Численность иностранных обучающихся по уровням образования на условиях общего приема (очно) / Магистратура,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Сельскохозяйственные науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Искусство и культура,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Образование и педагогические науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Инженерные науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Здравоохранение и медицинские науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Гуманитарные науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Математические и естественные науки,Образовательная политика / Численность обучающихся по отраслям знаний (приведенный контингент) / Науки об обществе,Образовательная политика / Сведения об ученых степенях профессорско-преподавательского состава / Доктора наук,Образовательная политика / Сведения об ученых степенях профессорско-преподавательского состава / Кандидаты наук,Образовательная политика / Сведения об ученых степенях профессорско-преподавательского состава / Без степени,Образовательная политика / Профессорско-преподавательский состав / Иностранные граждане,Образовательная политика / Профессорско-преподавательский состав / Граждане РФ,Качество системы управления / Бюджет университета / Федеральный бюджет,Качество системы управления / Бюджет университета / Бюджет субъекта РФ,Качество системы управления / Бюджет университета / Местный бюджет и внебюджетные средства,Качество системы управления / Финансовая модель организации («Модель 40/30/30») / Бюджетное финансирование,"Качество системы управления / Финансовая модель организации («Модель 40/30/30») / Внебюджетные доходы, связанные с выполнением НИР и ОКР, а также оказания услуг",Качество системы управления / Финансовая модель организации («Модель 40/30/30») / Внебюджетные доходы от образовательной деятельности (внебюджетные),Качество системы управления / Численность работников университета по категориям персонала / НР и инженерно-технический персонал,Качество системы управления / Численность работников университета по категориям персонала / ППС,"Качество системы управления / Численность работников университета по категориям персонала / Административно-хозяйственный, производственный и прочий персонал",Глобальная конкурентоспособность / Динамика университета в международных институциональных рейтингах / QS,Глобальная конкурентоспособность / Динамика университета в международных институциональных рейтингах / THE,Глобальная конкурентоспособность / Динамика университета в международных институциональных рейтингах / ARWU
АГУ,Южный,Республика Адыгея,Майкоп,Министерство науки и высшего образования Российской Федерации,True,,False,http://asu.edu.ru,Маркелов Константин Алексеевич,True,False,False,False,False,False,False,True,False,False,False,2.3,366.0,728.0,21.616,95.5,53.37,46.63,26.69,73.31,67.36,64.13,84.52,3.23,11.16,1.09,92.67,1.24,0.99,5.09,4.24,0.77,42.58,10.9,0.0,6.32,10.79,24.41,13.55,60.36,26.1,0.4,99.6,66.62,0.0,33.38,56.73,1.84,41.43,5.92,46.44,47.64,,,
Академия Русского балета имени А.Я. Вагановой,Северо-Западный,Санкт-Петербург,Санкт-Петербург,Министерство культуры Российской Федерации,True,,False,http://www.vaganovaacademy.ru,Цискаридзе Николай Максимович,False,False,False,False,False,False,False,False,False,False,False,21.0,0.0,0.0,0.0,3.5,93.93,6.07,7.23,92.77,82.34,93,66.47,0.0,31.5,2.02,60.0,0.0,4.0,36.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,16.48,75.82,1.1,98.9,86.75,0.0,13.25,83.99,0.57,15.44,7.2,38.56,54.24,,,
АлтГУ,Сибирский,Алтайский край,Барнаул,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.asu.ru/,Бочаров Сергей Николаевич,False,False,False,False,False,False,False,True,True,False,False,11.3,1804.0,7673.0,119.064,381.696,58.08,41.92,15.91,84.09,71.96,62.59,70.93,11.17,15.78,2.12,75.98,4.2,1.3,18.52,1.0,1.63,2.58,13.75,0.35,8.09,23.42,49.18,16.8,65.64,17.57,6.18,93.82,57.38,0.42,42.2,58.43,7.08,34.49,11.76,35.41,52.84,561,,
АмГУ,Дальневосточный,Амурская область,Благовещенск,Министерство науки и высшего образования Российской Федерации,False,,True,http://www.amursu.ru,Плутенко Андрей Долиевич,False,False,False,False,False,False,False,True,False,False,False,9.3,233.0,325.0,6.196,40.314,64.3,35.7,6.24,93.76,64.9,60.16,66.39,20.56,11.97,1.07,43.89,0.0,9.05,47.06,0.0,2.9,6.37,32.37,0.0,8.52,3.03,46.8,9.17,60.42,30.42,0.42,99.58,63.76,2.04,34.2,60.15,9.28,30.57,4.89,39.15,55.95,,,
АГУ,Южный,Астраханская область,Астрахань,Министерство науки и высшего образования Российской Федерации,True,,False,http://asu.edu.ru,Маркелов Константин Алексеевич,True,False,False,False,False,False,False,True,False,False,False,2.3,366.0,728.0,21.616,95.5,53.37,46.63,26.69,73.31,67.36,64.13,84.52,3.23,11.16,1.09,92.67,1.24,0.99,5.09,4.24,0.77,42.58,10.9,0.0,6.32,10.79,24.41,13.55,60.36,26.1,0.4,99.6,66.62,0.0,33.38,56.73,1.84,41.43,5.92,46.44,47.64,,,
БФУ им. И. Канта,Северо-Западный,Калининградская область,Калининград,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.kantiana.ru,Федоров Александр Александрович,True,False,False,False,False,True,True,True,False,False,True,19.3,1794.0,7641.0,136.998,420.484,70.64,29.36,9.08,90.92,78.27,70.18,62.39,15.91,14.27,7.43,49.69,41.82,2.62,5.86,0.0,2.17,11.64,13.19,12.68,17.35,16.79,26.18,23.04,51.9,25.06,1.79,98.21,72.4,1.28,26.32,69.7,8.79,21.51,16.07,36.64,47.3,651,1201,
ФГБОУ ВО БГМУ Минздрава России,Приволжский,Республика Башкортостан,Уфа,Министерство здравоохранения Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://bashgmu.ru,Павлов Валентин Николаевич,True,False,False,False,False,False,False,False,False,False,False,6.7,677.0,5242.0,16.305,209.245,49.9,50.1,18.89,81.11,82.02,65.9,0.51,78.85,0.03,20.61,0.0,94.45,5.49,0.05,0.0,0.0,0.0,0.0,99.32,0.0,0.63,0.05,23.87,60.26,15.87,1.07,98.93,42.24,0.0,57.76,58.84,2.18,38.98,3.52,53.65,42.83,,,
БашГУ,Приволжский,Республика Башкортостан,Уфа,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.bashedu.ru,Морозкин Николай Данилович,True,True,False,False,False,False,False,True,False,False,False,8.4,1626.0,5758.0,78.326,332.69,51.3,48.7,4.23,95.77,70.45,69.59,70.93,13.09,13.38,2.61,76.67,5.56,2.5,15.28,0.0,0.49,1.18,14.15,0.0,18.01,26.25,39.92,18.28,67.93,13.78,0.42,99.58,57.82,0.36,41.82,58.64,4.5,36.86,5.24,47.12,47.65,,1201,
НИУ «БелГУ»,Центральный,Белгородская область,Белгород,Министерство науки и высшего образования Российской Федерации,True,Территориальное/отраслевое лидерство,False,http://www.bsu.edu.ru,Полухин Олег Николаевич,True,False,False,False,False,False,False,True,False,True,False,25.8,2457.0,8485.0,229.483,637.336,44.56,55.44,17.83,82.17,71.26,63.38,43.18,37.83,6.53,12.45,27.77,51.41,13.81,7.0,0.2,0.11,16.05,7.75,25.55,10.32,6.55,33.48,17.9,64.74,17.36,1.86,98.14,49.33,0.22,50.44,49.07,16.78,34.14,9.33,45.46,45.21,1001,1201,
БГТУ им. В.Г. Шухова,Центральный,Белгородская область,Белгород,Министерство науки и высшего образования Российской Федерации,True,,False,http://www.bstu.ru,Глаголев Сергей Николаевич,True,False,False,False,False,False,False,True,True,False,False,19.4,1321.0,3365.0,67.915,168.676,67.8,32.2,16.98,83.02,69.39,64.01,69.03,13.41,14.14,3.42,82.08,3.5,1.88,12.54,0.31,0.19,0.0,84.41,0.0,0.0,0.0,15.08,13.02,57.4,29.58,2.41,97.59,57.88,1.01,41.11,58.4,15.87,25.73,9.98,43.41,46.62,,,
