id,name,shortName,group,location,city,founder,region,isBase,isSpecial,isCandidate,special,regionCode
u1dpt3iyms,Федеральное государственное бюджетное образовательное учреждение высшего образования «Адыгейский государственный университет»,АГУ,1,Республика Адыгея,Майкоп,Министерство науки и высшего образования Российской Федерации,Южный,True,False,False,,south
8zd4kctsoz,Федеральное государственное бюджетное образовательное учреждение высшего образования «Академия Русского балета имени А.Я. Вагановой»,Академия Русского балета имени А.Я. Вагановой,2,Санкт-Петербург,Санкт-Петербург,Министерство культуры Российской Федерации,Северо-Западный,True,False,False,,north
ctiqcaywqm,Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный университет»,АлтГУ,1,Алтайский край,Барнаул,Министерство науки и высшего образования Российской Федерации,Сибирский,True,False,False,,siberia
sisytkom7x,Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский государственный университет»,АмГУ,3,Амурская область,Благовещенск,Министерство науки и высшего образования Российской Федерации,Дальневосточный,False,False,True,,vostok
chokaxj6xy,Федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственный университет»,АГУ,4,Астраханская область,Астрахань,Министерство науки и высшего образования Российской Федерации,Южный,True,False,False,,south
wmyddq5cst,Федеральное государственное автономное образовательное учреждение высшего образования «Балтийский федеральный университет имени Иммануила Канта»,БФУ им. И. Канта,1,Калининградская область,Калининград,Министерство науки и высшего образования Российской Федерации,Северо-Западный,True,True,False,Территориальное/отраслевое лидерство,north
59rlnpjpsk,Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный медицинский университет» Министерства здравоохранения Российской Федерации,ФГБОУ ВО БГМУ Минздрава России,1,Республика Башкортостан,Уфа,Министерство здравоохранения Российской Федерации,Приволжский,True,True,False,Территориальное/отраслевое лидерство,volga
la5zy15hzd,Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный университет»,БашГУ,1,Республика Башкортостан,Уфа,Министерство науки и высшего образования Российской Федерации,Приволжский,True,True,False,Территориальное/отраслевое лидерство,volga
h0zsw2fc5f,Федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»,НИУ «БелГУ»,1,Белгородская область,Белгород,Министерство науки и высшего образования Российской Федерации,Центральный,True,True,False,Территориальное/отраслевое лидерство,central
augafldhak,Федеральное государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный технологический университет им. В.Г. Шухова»,БГТУ им. В.Г. Шухова,1,Белгородская область,Белгород,Министерство науки и высшего образования Российской Федерации,Центральный,True,False,False,,central
4twacwymeq,Федеральное государственное бюджетное военное образовательное учреждение высшего образования «Военно-медицинская академия имени С.М.Кирова»,Военномедицинская академия имени С.М.Кирова,1,Санкт-Петербург,Санкт-Петербург,Министерство обороны Российской Федерации,Северо-Западный,True,False,False,,north
