"name","short_name","city","region","district","founder","type","coordinates","rosrid_id"
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Адыгейский государственный университет»","АГУ (Майкоп)","Майкоп","Республика Адыгея","Южный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[44.604181,40.109813]",9981876
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Академия Русского балета имени А.Я. Вагановой»","Академия Вагановой","Санкт-Петербург","Санкт-Петербург","Северо-Западный","Министерство культуры Российской Федерации","Базовая часть","[59.930539,30.336080]",9830296
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный университет»","АлтГУ","Барнаул","Алтайский край","Сибирский","Министерство науки и высшего образования Российской Федерации","Базовая часть","[53.348129,83.775868]",10056346
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский государственный университет»","АмГУ","Благовещенск","Амурская область","Дальневосточный","Министерство науки и высшего образования Российской Федерации","Кандидат","[50.298461,127.510285]",8981341
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственный университет»","АГУ (Астрахань)","Астрахань","Астраханская область","Южный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[46.377907,48.052591]",9135439
"Федеральное государственное автономное образовательное учреждение высшего образования «Балтийский федеральный университет имени Иммануила Канта»","БФУ","Калининград","Калининградская область","Северо-Западный","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[54.724775,20.527879]",9367942
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный медицинский университет» Министерства здравоохранения Российской Федерации","БГМУ","Уфа","Республика Башкортостан","Приволжский","Министерство здравоохранения Российской Федерации","Территориальное/отраслевое лидерство","[54.720054,55.942935]",9979893
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Башкирский государственный университет»","БашГУ","Уфа","Республика Башкортостан","Приволжский","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[54.720714,55.933422]",9885397
"Федеральное государственное автономное образовательное учреждение высшего образования «Белгородский государственный национальный исследовательский университет»","БелГУ","Белгород","Белгородская область","Центральный","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[50.594671,36.574808]",9073834
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Белгородский государственный технологический университет им. В.Г. Шухова»","БГТУ","Белгород","Белгородская область","Центральный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[50.582061,36.596484]",9100356
"Федеральное государственное бюджетное военное образовательное учреждение высшего образования «Военно-медицинская академия имени С.М.Кирова»","ВМА","Санкт-Петербург","Санкт-Петербург","Северо-Западный","Министерство обороны Российской Федерации","Базовая часть","[59.958485,30.346680]",5317142
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Волгоградский государственный технический университет»","ВолгГТУ","Волгоград","Волгоградская область","Южный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[48.713928,44.528285]",9315360
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Всероссийский государственный институт кинематографии имени С.А.Герасимова»","ВГИК","Москва","Москва","Центральный","Министерство культуры Российской Федерации","Базовая часть","[55.835048,37.637299]",2011625
"Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет «Высшая школа экономики»","НИУ ВШЭ","Москва","Москва","Центральный","Правительство Российской Федерации","Исследовательское лидерство","[55.761350,37.632978]",7902350
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Вятский государственный университет»","ВятГУ","Киров","Кировская область","Приволжский","Министерство науки и высшего образования Российской Федерации","Базовая часть","[58.602658,49.666612]",3361810
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Санкт-Петербургский горный университет»","СПГУ","Санкт-Петербург","Санкт-Петербург","Северо-Западный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[59.930182,30.268949]",9778056
"Федеральное государственное автономное образовательное учреждение высшего образования «Дальневосточный федеральный университет»","ДВФУ","Владивосток","Приморский край","Дальневосточный","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[43.030680,131.886293]",9944117
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Донской государственный технический университет»","ДГТУ","Ростов-На-Дону","Ростовская область","Южный","Министерство науки и высшего образования Российской Федерации","Базовая часть","[47.237339,39.712246]",1730568
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Кабардино-Балкарский государственный университет им. Х.М. Бербекова»","КБГУ","Нальчик","Кабардино-Балкарская Республика","Северо-Кавказский","Министерство науки и высшего образования Российской Федерации","Базовая часть","[43.494546,43.596166]",9986912
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Казанский национальный исследовательский технический университет им. А.Н.Туполева-КАИ»","КНИТУ-КАИ","Казань","Республика Татарстан","Приволжский","Министерство науки и высшего образования Российской Федерации","Базовая часть","[55.797048,49.114148]",10009757
"Федеральное государственное автономное образовательное учреждение высшего образования «Казанский (Приволжский) федеральный университет»","КФУ (Казань)","Казань","Республика Татарстан","Приволжский","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[55.790853,49.121784]",10008876
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Кемеровский государственный университет»","КемГУ","Кемерово","Кемеровская область","Сибирский","Министерство науки и высшего образования Российской Федерации","Базовая часть","[55.351912,86.091051]",7603053
"Федеральное государственное автономное образовательное учреждение высшего образования «Крымский федеральный университет имени В. И. Вернадского»","КФУ (Симферополь)","Симферополь","Республика Крым","Южный","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[44.936479,34.134642]",36951
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Кубанский государственный медицинский университет»","КГМУ (Краснодар)","Краснодар","Краснодарский край","Южный","Министерство здравоохранения Российской Федерации","Кандидат","[45.015186,38.974478]",10109220
"Федеральное государственное автономное образовательное учреждение высшего образования «Московский государственный институт международных отношений (университет) Министерства иностранных дел Российской Федерации»","МГИМО","Москва","Москва","Центральный","Министерство иностранных дел Российской Федерации","Территориальное/отраслевое лидерство","[55.669691,37.491638]",6954117
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский государственный технический университет имени Н.Э.Баумана (национальный исследовательский университет)»","МГТУ","Москва","Москва","Центральный","Министерство науки и высшего образования Российской Федерации","Исследовательское лидерство","[55.765990,37.684560]",4008965
"Федеральное государственное бюджетное образовательное учреждение высшего образования «Московский авиационный институт»","МАИ","Москва","Москва","Центральный","Министерство науки и высшего образования Российской Федерации","Территориальное/отраслевое лидерство","[55.811685,37.502471]",8336663
