level,block_title,group_number,group_title,program_number,program_title
Бакалавриат,Математические и естественные науки,01.00.00,Математика и механика,01.03.01,Математика
Бакалавриат,Математические и естественные науки,01.00.00,Математика и механика,01.03.02,Прикладная математика и информатика
Бакалавриат,Математические и естественные науки,01.00.00,Математика и механика,01.03.03,Механика и математическое моделирование
Бакалавриат,Математические и естественные науки,01.00.00,Математика и механика,01.03.04,Прикладная математика
Бакалавриат,Математические и естественные науки,01.00.00,Математика и механика,01.03.05,Статистика
Бакалавриат,Математические и естественные науки,02.00.00,Компьютерные и информационные науки,02.03.01,Математика и компьютерные науки
Бакалавриат,Математические и естественные науки,02.00.00,Компьютерные и информационные науки,02.03.02,Фундаментальная информатика и информационные технологии
Бакалавриат,Математические и естественные науки,02.00.00,Компьютерные и информационные науки,02.03.03,Математическое обеспечение и администрирование информационных систем
Бакалавриат,Математические и естественные науки,03.00.00,Физика и астрономия,03.03.01,Прикладные математика и физика
Бакалавриат,Математические и естественные науки,03.00.00,Физика и астрономия,03.03.02,Физика
Бакалавриат,Математические и естественные науки,03.00.00,Физика и астрономия,03.03.03,Радиофизика
Бакалавриат,Математические и естественные науки,04.00.00,Химия,04.03.01,Химия
Бакалавриат,Математические и естественные науки,04.00.00,Химия,04.03.02,"Химия, физика и механика материалов"
Бакалавриат,Математические и естественные науки,05.00.00,Науки о земле,05.03.01,Геология
Бакалавриат,Математические и естественные науки,05.00.00,Науки о земле,05.03.02,География
Бакалавриат,Математические и естественные науки,05.00.00,Науки о земле,05.03.03,Картография и геоинформатика
Бакалавриат,Математические и естественные науки,05.00.00,Науки о земле,05.03.04,Гидрометеорология
Бакалавриат,Математические и естественные науки,05.00.00,Науки о земле,05.03.05,Прикладная гидрометеорология
Бакалавриат,Математические и естественные науки,05.00.00,Науки о земле,05.03.06,Экология и природопользование
Бакалавриат,Математические и естественные науки,06.00.00,Биологические науки,06.03.01,Биология
Бакалавриат,Математические и естественные науки,06.00.00,Биологические науки,06.03.02,Почвоведение
Бакалавриат,"Инженерное дело, технологии и технические науки",07.00.00,Архитектура,07.03.01,Архитектура
